Supplier,Supply Region,Plan type,Tariff name,Update date,"Discount
(included)",Duration,Cash bonus,Standing charge,PSO Levy,Day unit,Peak unit,Night unit,Ev unit,Ev overage unit,Fit unit,Extra,Gas discount,Gas standing charge,Gas unit rate,Gas carbon tax
Bord Gais,urban,smart,Smart EV Electricity Discount,23/06/2026,0.15,12 months,0,364.5832,19.0968,35.234795,49.14156,26.57202,8.977785,,18.5,"[""ev_2_5"",""no_peak_weekend""]",,,,
Bord Gais,rural,smart,Smart EV Electricity Discount,23/06/2026,0.15,12 months,0,425.6341,19.0968,36.83764,48.27065,26.470105,8.977785,,18.5,"[""ev_2_5"",""no_peak_weekend""]",,,,
Bord Gais,urban,smart,Smart Standard Electricity Discount,23/06/2026,0.26,12 months,0,244.7704,19.0968,32.893148,40.039624,24.27866,,,18.5,"[""no_peak_weekend""]",,,,
Bord Gais,rural,smart,Smart Standard Electricity Discount,23/06/2026,0.26,12 months,0,307.2601,19.0968,33.167392,40.49132,24.423848,,,18.5,"[""no_peak_weekend""]",,,,
Bord Gais,urban,smart,Smart All Day Electricity Discount,23/06/2026,0.26,12 months,0,244.7704,19.0968,30.779856,30.779856,30.779856,,,18.5,[],,,,
Bord Gais,rural,smart,Smart All Day Electricity Discount,23/06/2026,0.26,12 months,0,307.2601,19.0968,30.868582,30.868582,30.868582,,,18.5,[],,,,
Bord Gais,urban,24h,Electricity Discount,23/06/2026,0.26,12 months,0,244.7595,19.0968,30.779856,30.779856,30.779856,,,18.5,[],,,,
Bord Gais,rural,24h,Electricity Discount,23/06/2026,0.26,12 months,0,307.3037,19.0968,30.868582,30.868582,30.868582,,,18.5,[],,,,
Bord Gais,urban,day/night,Electricity Discount,23/06/2026,0.26,12 months,0,321.8661,19.0968,33.094798,33.094798,16.382046,,,18.5,[],,,,
Bord Gais,rural,day/night,Electricity Discount,23/06/2026,0.26,12 months,0,398.7547,19.0968,33.732012,33.732012,16.672422,,,18.5,[],,,,
Bord Gais,urban dual,smart,Smart EV Dual Fuel Discount,23/06/2026,0.15,12 months,0,364.5832,19.0968,35.234795,49.14156,26.57202,8.977785,,18.5,"[""ev_2_5"",""no_peak_weekend""]",0.15,131.6938,9.496625,1.25132
Bord Gais,rural dual,smart,Smart EV Dual Fuel Discount,23/06/2026,0.15,12 months,0,425.6341,19.0968,36.83764,48.27065,26.470105,8.977785,,18.5,"[""ev_2_5"",""no_peak_weekend""]",0.15,131.6938,9.496625,1.25132
Bord Gais,urban dual,smart,Smart All Day Dual Fuel Discount,23/06/2026,0.22,12 months,0,244.7704,19.0968,32.443632,32.443632,32.443632,,,18.5,[],0.21,131.6938,8.826275,1.25132
Bord Gais,rural dual,smart,Smart All Day Dual Fuel Discount,23/06/2026,0.22,12 months,0,307.2601,19.0968,32.537154,32.537154,32.537154,,,18.5,[],0.21,131.6938,8.826275,1.25132
Bord Gais,urban dual,smart,Smart Standard Dual Fuel Discount,23/06/2026,0.22,12 months,0,244.7704,19.0968,34.671156,42.203928,25.59102,,,18.5,"[""no_peak_weekend""]",0.21,131.6938,8.826275,1.25132
Bord Gais,rural dual,smart,Smart Standard Dual Fuel Discount,23/06/2026,0.22,12 months,0,307.2601,19.0968,34.960224,42.68004,25.744056,,,18.5,"[""no_peak_weekend""]",0.21,131.6938,8.826275,1.25132
Bord Gais,urban dual,24h,Dual Fuel Discount,23/06/2026,0.22,12 months,0,244.7704,19.0968,32.443632,32.443632,32.443632,,,18.5,[],0.21,131.6938,8.826275,1.25132
Bord Gais,rural dual,24h,Dual Fuel Discount,23/06/2026,0.22,12 months,0,307.2601,19.0968,32.537154,32.537154,32.537154,,,18.5,[],0.21,131.6938,8.826275,1.25132
FloGas,urban,smart,Smart EV Night Charge 29% Electricity Discount (from 20th July),23/06/2026,0.29,12 months,0,387.1571,19.0968,31.760856,40.954788,24.656454,9.960093,,18.5,"[""ev_2_5""]",,,,
FloGas,rural,smart,Smart EV Night Charge 29% Electricity Discount (from 20th July),23/06/2026,0.29,12 months,0,472.3624,19.0968,31.760856,40.954788,24.656454,9.960093,,18.5,"[""ev_2_5""]",,,,
FloGas,urban,smart,Smart Electricity 29% Loyalty Discount (from 20th July),23/06/2026,0.29,12 months,0,300.1969,19.0968,31.938853,37.789537,23.054481,,,18.5,[],,,,
FloGas,rural,smart,Smart Electricity 29% Loyalty Discount (from 20th July),23/06/2026,0.29,12 months,0,366.0983,19.0968,31.938853,37.789537,23.054481,,,18.5,[],,,,
FloGas,urban,smart,Smart 24Hr Electricity 29% Loyalty Discount (from 20th July),23/06/2026,0.29,12 months,0,300.1969,19.0968,29.307593,29.307593,29.307593,,,18.5,[],,,,
FloGas,rural,smart,Smart 24Hr Electricity 29% Loyalty Discount (from 20th July),23/06/2026,0.29,12 months,0,366.0983,19.0968,29.307593,29.307593,29.307593,,,18.5,[],,,,
FloGas,urban,24h,Electricity 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,305.6796,19.0968,31.690224,31.690224,31.690224,,,18.5,[],,,,
FloGas,rural,24h,Electricity 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,370.9597,19.0968,31.690224,31.690224,31.690224,,,18.5,[],,,,
FloGas,urban,day/night,Electricity 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,393.5227,19.0968,35.261064,35.261064,17.077248,,,18.5,[],,,,
FloGas,rural,day/night,Electricity 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,501.4872,19.0968,35.261064,35.261064,17.077248,,,18.5,[],,,,
FloGas,urban dual,smart,Smart Dual Fuel EV Night Charge 29% Electricity & 28% Gas loyalty Discount (from 20th July),23/06/2026,0.29,12 months,0,387.1571,19.0968,31.760856,40.954788,24.656454,9.960093,,18.5,"[""ev_2_5""]",0.28,170.8357,9.14292,1.25132
FloGas,rural dual,smart,Smart Dual Fuel EV Night Charge 29% Electricity & 28% Gas loyalty Discount (from 20th July),23/06/2026,0.29,12 months,0,472.3624,19.0968,31.760856,40.954788,24.656454,9.960093,,18.5,"[""ev_2_5""]",0.28,170.8357,9.14292,1.25132
FloGas,urban dual,smart,Dual Fuel Smart 29% & 28% Gas Loyalty Discount  (from 20th July),23/06/2026,0.29,12 months,0,300.1969,19.0968,31.938853,37.789537,23.054481,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,rural dual,smart,Dual Fuel Smart 29% & 28% Gas Loyalty Discount  (from 20th July),23/06/2026,0.29,12 months,0,366.0983,19.0968,31.938853,37.789537,23.054481,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,urban dual,smart,Dual Fuel 24 Hr Smart 29% & 28% Gas Loyalty Discount  (from 20th July),23/06/2026,0.29,12 months,0,300.1969,19.0968,29.307593,29.307593,29.307593,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,rural dual,smart,Dual Fuel 24 Hr Smart 29% & 28% Gas Loyalty Discount  (from 20th July),23/06/2026,0.29,12 months,0,366.0983,19.0968,29.307593,29.307593,29.307593,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,urban dual,24h,Dual Fuel 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,305.6796,19.0968,31.690224,31.690224,31.690224,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,rural dual,24h,Dual Fuel 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,370.9597,19.0968,31.690224,31.690224,31.690224,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,urban dual,day/night,Dual Fuel 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,393.5227,19.0968,35.261064,35.261064,17.077248,,,18.5,[],0.28,170.8357,9.14292,1.25132
FloGas,rural dual,day/night,Dual Fuel 28% Loyalty Discount (from 20th July),23/06/2026,0.28,12 months,0,501.4872,19.0968,35.261064,35.261064,17.077248,,,18.5,[],0.28,170.8357,9.14292,1.25132
Pinergy,urban,smart,Standard 24 Hr,17/02/2026,0,24 months,0,283.4654,19.0968,41.7688,44.7227,31.7735,,,25,[],,,,
Pinergy,rural,smart,Standard 24 Hr,17/02/2026,0,24 months,0,283.4654,19.0968,41.7688,44.7227,31.7735,,,25,[],,,,
Energia,urban,smart,Smart Data,15/06/2026,0.27,12 months,0,265.0117,19.0968,30.753805,34.53338,16.908625,,,18.5,[],,,,
Energia,rural,smart,Smart Data,15/06/2026,0.27,12 months,0,337.0171,19.0968,30.753805,34.53338,16.908625,,,18.5,[],,,,
Energia,urban,smart,Smart 24 Hour,15/06/2026,0.3,12 months,0,265.0117,19.0968,28.10129,28.10129,28.10129,,,18.5,[],,,,
Energia,rural,smart,Smart 24 Hour,15/06/2026,0.3,12 months,0,337.0171,19.0968,28.10129,28.10129,28.10129,,,18.5,[],,,,
Energia,urban,smart,EV Smart Drive,15/06/2026,0.1,12 months,0,265.0117,19.0968,40.16214,40.16214,40.16214,9.42741,11.01663,18.5,"[""ev_2_6""]",,,,
Energia,rural,smart,EV Smart Drive,15/06/2026,0.1,12 months,0,337.0171,19.0968,40.16214,40.16214,40.16214,9.42741,11.01663,18.5,"[""ev_2_6""]",,,,
Energia,urban,smart,EV Smart Drive Plus,15/06/2026,0.1,12 months,0,265.0117,19.0968,38.93589,51.08067,23.98545,11.03625,19.68867,18.5,"[""ev_2_6""]",,,,
Energia,rural,smart,EV Smart Drive Plus,15/06/2026,0.1,12 months,0,337.0171,19.0968,38.93589,51.08067,23.98545,11.03625,19.68867,18.5,"[""ev_2_6""]",,,,
Energia,urban,smart,Energia SST,15/06/2026,0.15,12 months,0,265.0117,19.0968,35.809225,40.2101,20.99449,,,18.5,[],,,,
Energia,rural,smart,Energia SST,15/06/2026,0.15,12 months,0,337.0171,19.0968,35.809225,40.2101,20.99449,,,18.5,[],,,,
Energia,urban,24h,NS-24h Standard Electricity,15/06/2026,0.3,12 months,0,265.0117,19.0968,29.85619,29.85619,29.85619,,,18.5,[],,,,
Energia,rural,24h,NS-24h Standard Electricity,15/06/2026,0.3,12 months,0,337.0171,19.0968,29.85619,29.85619,29.85619,,,18.5,[],,,,
Energia,urban dual,24h,Standard Dual,15/06/2026,0.25,12 months,0,265.0117,19.0968,31.988775,31.988775,31.988775,,,18.5,[],0.25,141.6019,8.444775,1.25132
Energia,rural dual,24h,Standard Dual,15/06/2026,0.25,12 months,0,337.0171,19.0968,31.988775,31.988775,31.988775,,,18.5,[],0.25,141.6019,8.444775,1.25132
Energia,urban dual,smart,Smart Data Dual,15/06/2026,0.27,12 months,0,265.0117,19.0968,30.753805,34.53338,16.908625,,,18.5,[],0.27,141.6019,8.219581,1.25132
Energia,rural dual,smart,Smart Data Dual,15/06/2026,0.27,12 months,0,337.0171,19.0968,30.753805,34.53338,16.908625,,,18.5,[],0.27,141.6019,8.219581,1.25132
Energia,urban dual,smart,Smart 24 Hour Dual,15/06/2026,0.26,12 months,0,265.0117,19.0968,29.707078,29.707078,29.707078,,,18.5,[],0.26,141.6019,8.332178,1.25132
Energia,rural dual,smart,Smart 24 Hour Dual,15/06/2026,0.26,12 months,0,337.0171,19.0968,29.707078,29.707078,29.707078,,,18.5,[],0.26,141.6019,8.332178,1.25132
Energia,urban dual,smart,EV Smart Drive Dual,15/06/2026,0.1,12 months,0,265.0117,19.0968,40.16214,40.16214,40.16214,9.42741,11.01663,18.5,"[""ev_2_6""]",0.1,141.6019,10.13373,1.25132
Energia,rural dual,smart,EV Smart Drive Dual,15/06/2026,0.1,12 months,0,337.0171,19.0968,40.16214,40.16214,40.16214,9.42741,11.01663,18.5,"[""ev_2_6""]",0.1,141.6019,10.13373,1.25132
Energia,urban dual,smart,EV Smart Drive Plus Dual,15/06/2026,0.1,12 months,0,265.0117,19.0968,38.93589,51.08067,23.98545,11.03625,19.68867,18.5,"[""ev_2_6""]",0.1,141.6019,10.13373,1.25132
Energia,rural dual,smart,EV Smart Drive Plus Dual,15/06/2026,0.1,12 months,0,337.0171,19.0968,38.93589,51.08067,23.98545,11.03625,19.68867,18.5,"[""ev_2_6""]",0.1,141.6019,10.13373,1.25132
Energia,urban dual,smart,Energia SST,15/06/2026,0.15,12 months,0,265.0117,19.0968,35.809225,40.2101,20.99449,,,18.5,[],0.15,141.6019,9.570745,1.25132
Energia,rural dual,smart,Energia SST,15/06/2026,0.15,12 months,0,337.0171,19.0968,35.809225,40.2101,20.99449,,,18.5,[],0.15,141.6019,9.570745,1.25132
Yuno,urban,smart,Electricity Smart,17/06/2026,0,12 months,14.9984,235.767,19.0968,33.6919,36.5586,20.6119,,,17.16,[],,,,
Yuno,rural,smart,Electricity Smart,17/06/2026,0,12 months,14.9984,296.4037,19.0968,33.7246,36.3079,20.7645,,,17.16,[],,,,
Yuno,urban,smart,EV Variable,17/06/2026,0,12 months,0,334.194,19.0968,32.7,32.7,32.7,10.791,,17.16,"[""ev_2_6""]",,,,
Yuno,rural,smart,EV Variable,17/06/2026,0,12 months,0,366.022,19.0968,32.7,32.7,32.7,10.791,,17.16,"[""ev_2_6""]",,,,
Yuno,urban,smart,EV Variable SMART,17/06/2026,0,12 months,0,334.194,19.0968,40.47,45.38,21.46,8.59,,17.16,"[""ev_2_6""]",,,,
Yuno,rural,smart,EV Variable SMART,17/06/2026,0,12 months,0,366.022,19.0968,40.47,45.38,21.46,8.59,,17.16,"[""ev_2_6""]",,,,
Yuno,urban,smart,Electricity 24h,17/06/2026,0,12 months,14.9984,219.2208,19.0968,31.3266,31.3266,31.3266,,,17.16,[],,,,
Yuno,rural,smart,Electricity 24h,17/06/2026,0,12 months,14.9984,274.9198,19.0968,31.4465,31.4465,31.4465,,,17.16,[],,,,
Yuno,urban,smart,Electricity Day/Night,17/06/2026,0,12 months,14.9984,247.9423,19.0968,34.1606,34.1606,20.6446,,,17.16,[],,,,
Yuno,rural,smart,Electricity Day/Night,17/06/2026,0,12 months,14.9984,335.829,19.0968,34.1933,34.1933,20.9716,,,17.16,[],,,,
Yuno,urban dual,smart,Dual Fuel 24h Bonus,23/06/2026,0,12 months,25.0046,240.8573,19.0968,30.8143,30.8143,30.8143,,,17.16,[],0,150.0276,9.4939,1.25132
Yuno,rural dual,smart,Dual Fuel 24h Bonus,23/06/2026,0,12 months,25.0046,306.3009,19.0968,30.8143,30.8143,30.8143,,,17.16,[],0,150.0276,9.4939,1.25132
